                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0539,                 3.4631,                 2.6881,                0.00248,                0.38202,                0.00407,                0.00128,                 2.4667,                 4.9048,                 2.7386,             0.00065217,             0.00065217,             0.00065217
                      1,                 1.6239,                 3.0707,                 2.2036,                0.00273,                0.41948,                0.00729,                0.00209,                 2.4198,                 4.0885,                 2.6868,              0.0013058,              0.0013058,              0.0013058
                      2,                 1.3255,                 2.6393,                 1.7853,                0.09348,                0.16854,                0.03569,                0.00904,                 2.1789,                 3.6368,                 2.4342,              0.0019462,              0.0019462,              0.0019462
                      3,                 1.1012,                 2.1248,                  1.538,                0.30923,                0.35206,                0.17276,                0.04528,                  1.775,                 3.7498,                 2.0381,              0.0019406,              0.0019406,              0.0019406
                      4,                   0.96,                 1.8497,                 1.3986,                0.42344,                 0.3633,                0.25146,                0.05097,                 1.7628,                 3.6029,                 2.0015,              0.0019406,              0.0019406,              0.0019406
                      5,                0.82877,                 1.5778,                 1.2847,                0.63171,                0.32764,                0.36104,                 0.1069,                 1.6482,                 3.0562,                 1.8489,              0.0019208,              0.0019208,              0.0019208
                      6,                0.76152,                 1.4532,                 1.2242,                 0.4973,                0.40386,                0.35124,                0.10294,                 1.6545,                 2.9174,                   1.95,               0.001901,               0.001901,               0.001901
                      7,                 0.6881,                 1.3541,                 1.1357,                0.52456,                0.31835,                0.31865,                0.10472,                 1.6082,                 2.9705,                 1.8431,              0.0018812,              0.0018812,              0.0018812
                      8,                0.68275,                 1.2864,                 1.1278,                0.47251,                0.39588,                0.31727,                0.11302,                 1.5906,                 2.7127,                 1.9052,              0.0018614,              0.0018614,              0.0018614
                      9,                 0.6446,                 1.2652,                 1.0855,                 0.5807,                0.33708,                0.33948,                 0.1261,                 1.6416,                  2.844,                 2.0303,              0.0018416,              0.0018416,              0.0018416
                     10,                0.60312,                 1.1636,                 1.0583,                0.72718,                0.33708,                0.37744,                0.15614,                 1.5492,                 3.0441,                 1.9801,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.5599,                 1.0922,                 1.0046,                0.66607,                0.31086,                0.33719,                0.14423,                 1.5573,                 2.8554,                 1.9795,               0.001802,               0.001802,               0.001802
                     12,                0.52967,                 1.0567,                0.98795,                0.61643,                0.35581,                0.36008,                0.15656,                 1.6155,                 3.0021,                 2.0294,              0.0017822,              0.0017822,              0.0017822
                     13,                0.52086,                 1.0408,                0.97774,                0.78356,                0.33333,                0.39993,                0.16638,                 1.5994,                 2.8637,                 1.9659,              0.0017624,              0.0017624,              0.0017624
                     14,                0.51114,                 1.0373,                0.97792,                0.68806,                0.32959,                0.34394,                0.15595,                 1.6145,                 2.9315,                 1.9714,              0.0017426,              0.0017426,              0.0017426
                     15,                0.54246,                 1.0554,                0.98715,                0.61838,                 0.3633,                0.36558,                0.17628,                 1.5112,                  2.784,                 1.9093,              0.0017228,              0.0017228,              0.0017228
                     16,                0.49067,                0.97614,                0.94515,                0.71474,                0.33784,                0.36487,                0.17243,                 1.5852,                  2.985,                 1.9579,               0.001703,               0.001703,               0.001703
                     17,                0.47505,                0.96936,                0.93431,                0.70581,                0.34457,                0.38828,                0.19108,                 1.5446,                   3.01,                  1.998,              0.0016832,              0.0016832,              0.0016832
                     18,                0.46849,                0.94256,                0.91528,                0.67801,                0.34457,                0.37837,                 0.1871,                 1.5448,                 2.9065,                 1.9544,              0.0016634,              0.0016634,              0.0016634
                     19,                0.45747,                0.92157,                0.91103,                0.76562,                0.34256,                0.35089,                0.17937,                 1.5346,                 2.8635,                  1.971,              0.0016436,              0.0016436,              0.0016436
                     20,                0.47378,                 0.9552,                0.91963,                0.64216,                0.34457,                0.36027,                 0.1802,                 1.4854,                 2.7963,                 1.9007,              0.0016238,              0.0016238,              0.0016238
                     21,                0.42802,                0.86954,                0.87878,                0.75196,                0.34457,                0.40373,                 0.2019,                 1.4827,                 2.6653,                 1.8349,               0.001604,               0.001604,               0.001604
                     22,                0.43138,                 0.8545,                 0.8829,                0.76045,                0.32959,                0.41198,                0.20315,                 1.4948,                 2.6906,                 1.7825,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.4558,                0.91728,                0.89535,                0.70508,                0.34831,                0.34913,                 0.1734,                 1.4958,                 2.6131,                 1.8878,              0.0015644,              0.0015644,              0.0015644
                     24,                0.42281,                0.85946,                0.87472,                0.74676,                0.32584,                0.34842,                0.18894,                 1.4487,                 2.7862,                 1.8993,              0.0015446,              0.0015446,              0.0015446
                     25,                0.41285,                0.84527,                0.85867,                 0.7322,                0.35206,                 0.3636,                0.16614,                  1.475,                 2.6781,                 1.9775,              0.0015248,              0.0015248,              0.0015248
                     26,                0.41832,                0.84318,                0.87167,                0.73175,                0.34082,                0.39779,                0.19231,                 1.4727,                 2.7972,                 1.8611,               0.001505,               0.001505,               0.001505
                     27,                0.40376,                0.81851,                0.85373,                0.73647,                0.33708,                0.40144,                0.22242,                 1.4996,                 2.8254,                 1.8522,              0.0014852,              0.0014852,              0.0014852
                     28,                0.40604,                0.83597,                0.84734,                0.73243,                0.34457,                0.38851,                0.19281,                 1.4415,                 2.8384,                 1.9126,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.3986,                0.81885,                0.84116,                0.76363,                0.34457,                0.38596,                 0.1985,                 1.4388,                 2.6503,                 1.8993,              0.0014456,              0.0014456,              0.0014456
                     30,                0.36079,                0.79417,                0.82302,                0.71779,                0.34082,                0.35213,                0.16011,                 1.4925,                 2.8342,                  1.925,              0.0014258,              0.0014258,              0.0014258
